unix	долото
1700064716	3584.55
1700064718	3584.51
1700064720	3584.47
1700064722	3584.43
1700064724	3584.40
1700064726	3584.36
1700064728	3584.32
1700064730	3584.28
1700064732	3584.24
1700064734	3584.21
1700064736	3584.17
1700064738	3584.13
1700064740	3584.10
1700064742	3584.06
1700064744	3584.02
1700064746	3583.98
1700064748	3583.94
1700064750	3583.91
1700064752	3583.87
1700064754	3583.83
1700064756	3583.79
1700064758	3583.76
1700064760	3583.75
1700064762	3583.77
1700064764	3583.84
1700064766	3583.85
1700064768	3583.85
1700064770	3583.87
1700064772	3584.05
1700064774	3584.07
1700064776	3584.07
1700064778	3584.07
1700064780	3584.07
1700064782	3584.07
1700064784	3584.07
1700064786	3584.07
1700064788	3584.07
1700064790	3584.07
1700064792	3584.07
1700064794	3584.07
1700064796	3584.07
1700064798	3584.07
1700064800	3584.07
1700064802	3584.07
1700064804	3584.07
1700064806	3584.07
1700064808	3584.07
1700064810	3584.07
1700064812	3584.07
1700064814	3584.07
1700064816	3584.07
1700064818	3584.07
1700064820	3584.07
1700064822	3584.07
1700064824	3584.07
1700064826	3584.07
1700064828	3584.07
1700064830	3584.07
1700064832	3584.07
1700064834	3584.07
1700064836	3584.07
1700064838	3584.07
1700064840	3584.07
1700064842	3584.07
1700064844	3584.07
1700064846	3584.07
1700064848	3584.07
1700064850	3584.07
1700064852	3584.07
1700064854	3584.07
1700064856	3584.07
1700064858	3584.07
1700064860	3584.07
1700064862	3584.07
1700064864	3584.07
1700064866	3584.07
1700064868	3584.07
1700064870	3584.07
1700064872	3584.07
1700064874	3584.07
1700064876	3584.07
1700064878	3584.07
1700064880	3584.07
1700064882	3584.07
1700064884	3584.07
1700064886	3584.07
1700064888	3584.07
1700064890	3584.07
1700064892	3584.07
1700064894	3584.07
1700064896	3584.07
1700064898	3584.07
1700064900	3584.07
1700064902	3584.07
1700064904	3584.07
1700064906	3584.07
1700064908	3584.07
1700064910	3584.07
1700064912	3584.07
1700064914	3584.07
1700064916	3584.07
1700064918	3584.07
1700064920	3584.07
1700064922	3584.07
1700064924	3584.07
1700064926	3584.07
1700064928	3584.07
1700064930	3584.07
1700064932	3584.07
1700064934	3584.07
1700064936	3584.07
1700064938	3584.07
1700064940	3584.07
1700064942	3584.07
1700064944	3584.07
1700064946	3584.07
1700064948	3584.07
1700064950	3584.07
1700064952	3584.07
1700064954	3584.07
1700064956	3584.07
1700064958	3584.07
1700064960	3584.07
1700064962	3584.07
1700064964	3584.07
1700064966	3584.07
1700064968	3584.07
1700064970	3584.07
1700064972	3584.07
1700064974	3584.07
1700064976	3584.07
1700064978	3584.07
1700064980	3584.07
1700064982	3584.07
1700064984	3584.07
1700064986	3584.07
1700064988	3584.07
1700064990	3584.07
1700064992	3584.07
1700064994	3584.07
1700064996	3584.07
1700064998	3584.07
1700065000	3584.07
1700065002	3584.07
1700065004	3584.07
1700065006	3584.07
1700065008	3584.07
1700065010	3584.07
1700065012	3584.07
1700065014	3584.62
1700065016	3584.58
1700065018	3584.56
1700065020	3584.53
1700065022	3584.49
1700065024	3584.45
1700065026	3584.40
1700065028	3584.37
1700065030	3584.33
1700065032	3584.29
1700065034	3584.25
1700065036	3584.22
1700065038	3584.18
1700065040	3584.14
1700065042	3584.09
1700065044	3584.05
1700065046	3584.02
1700065048	3583.98
1700065050	3583.94
1700065052	3583.90
1700065054	3583.86
1700065056	3583.82
1700065058	3583.79
1700065060	3583.75
1700065062	3583.71
1700065064	3583.67
1700065066	3583.63
1700065068	3583.59
1700065070	3583.56
1700065072	3583.52
1700065074	3583.48
1700065076	3583.44
1700065078	3583.40
1700065080	3583.36
1700065082	3583.33
1700065084	3583.29
1700065086	3583.25
1700065088	3583.21
1700065090	3583.17
1700065092	3583.13
1700065094	3583.09
1700065096	3583.06
1700065098	3583.02
1700065100	3582.98
1700065102	3582.94
1700065104	3582.90
1700065106	3582.86
1700065108	3582.82
1700065110	3582.78
1700065112	3582.75
1700065114	3582.71
1700065116	3582.67
1700065118	3582.63
1700065120	3582.59
1700065122	3582.55
1700065124	3582.52
1700065126	3582.48
1700065128	3582.44
1700065130	3582.41
1700065132	3582.37
1700065134	3582.33
1700065136	3582.30
1700065138	3582.26
1700065140	3582.22
1700065142	3582.19
1700065144	3582.15
1700065146	3582.12
1700065148	3582.08
1700065150	3582.04
1700065152	3582.01
1700065154	3581.97
1700065156	3581.93
1700065158	3581.90
1700065160	3581.86
1700065162	3581.82
1700065164	3581.78
1700065166	3581.75
1700065168	3581.71
1700065170	3581.67
1700065172	3581.64
1700065174	3581.60
1700065176	3581.56
1700065178	3581.52
1700065180	3581.49
1700065182	3581.45
1700065184	3581.41
1700065186	3581.38
1700065188	3581.34
1700065190	3581.30
1700065192	3581.27
1700065194	3581.23
1700065196	3581.19
1700065198	3581.16
1700065200	3581.12
1700065202	3581.08
1700065204	3581.04
1700065206	3581.01
1700065208	3580.97
1700065210	3580.93
1700065212	3580.90
1700065214	3580.86
1700065216	3580.82
1700065218	3580.79
1700065220	3580.75
1700065222	3580.71
1700065224	3580.67
1700065226	3580.63
1700065228	3580.60
1700065230	3580.56
1700065232	3580.53
1700065234	3580.49
1700065236	3580.45
1700065238	3580.41
1700065240	3580.37
1700065242	3580.34
1700065244	3580.30
1700065246	3580.26
1700065248	3580.22
1700065250	3580.19
1700065252	3580.15
1700065254	3580.11
1700065256	3580.08
1700065258	3580.04
1700065260	3580.00
1700065262	3579.96
1700065264	3579.93
1700065266	3579.89
1700065268	3579.85
1700065270	3579.81
1700065272	3579.78
1700065274	3579.74
1700065276	3579.70
1700065278	3579.66
1700065280	3579.62
1700065282	3579.59
1700065284	3579.55
1700065286	3579.51
1700065288	3579.47
1700065290	3579.44
1700065292	3579.40
1700065294	3579.36
1700065296	3579.32
1700065298	3579.29
1700065300	3579.25
1700065302	3579.21
1700065304	3579.17
1700065306	3579.14
1700065308	3579.10
1700065310	3579.06
1700065312	3579.02
1700065314	3578.98
1700065316	3578.94
1700065318	3578.91
1700065320	3578.87
1700065322	3578.83
1700065324	3578.79
1700065326	3578.76
1700065328	3578.72
1700065330	3578.68
1700065332	3578.64
1700065334	3578.60
1700065336	3578.57
1700065338	3578.53
1700065340	3578.49
1700065342	3578.45
1700065344	3578.41
1700065346	3578.38
1700065348	3578.34
1700065350	3578.30
1700065352	3578.26
1700065354	3578.22
1700065356	3578.19
1700065358	3578.15
1700065360	3578.11
1700065362	3578.07
1700065364	3578.03
1700065366	3578.00
1700065368	3577.96
1700065370	3577.92
1700065372	3577.88
1700065374	3577.84
1700065376	3577.81
1700065378	3577.77
1700065380	3577.73
1700065382	3577.69
1700065384	3577.65
1700065386	3577.61
1700065388	3577.58
1700065390	3577.54
1700065392	3577.50
1700065394	3577.46
1700065396	3577.42
1700065398	3577.38
1700065400	3577.34
1700065402	3577.31
1700065404	3577.27
1700065406	3577.23
1700065408	3577.19
1700065410	3577.15
1700065412	3577.12
1700065414	3577.08
1700065416	3577.04
1700065418	3577.00
1700065420	3576.96
1700065422	3576.93
1700065424	3576.88
1700065426	3576.85
1700065428	3576.81
1700065430	3576.77
1700065432	3576.73
1700065434	3576.69
1700065436	3576.66
1700065438	3576.61
1700065440	3576.58
1700065442	3576.54
1700065444	3576.50
1700065446	3576.46
1700065448	3576.42
1700065450	3576.38
1700065452	3576.34
1700065454	3576.31
1700065456	3576.27
1700065458	3576.23
1700065460	3576.19
1700065462	3576.15
1700065464	3576.11
1700065466	3576.07
1700065468	3576.03
1700065470	3575.99
1700065472	3575.95
1700065474	3575.92
1700065476	3575.87
1700065478	3575.84
1700065480	3575.80
1700065482	3575.76
1700065484	3575.72
1700065486	3575.68
1700065488	3575.64
1700065490	3575.60
1700065492	3575.56
1700065494	3575.53
1700065496	3575.49
1700065498	3575.45
1700065500	3575.41
1700065502	3575.37
1700065504	3575.33
1700065506	3575.29
1700065508	3575.25
1700065510	3575.21
1700065512	3575.16
1700065514	3575.12
1700065516	3575.08
1700065518	3575.03
1700065520	3574.99
1700065522	3574.95
1700065524	3574.90
1700065526	3574.86
1700065528	3574.82
1700065530	3574.77
1700065532	3574.73
1700065534	3574.69
1700065536	3574.64
1700065538	3574.60
1700065540	3574.56
1700065542	3574.51
1700065544	3574.46
1700065546	3574.40
1700065548	3574.35
1700065550	3574.30
1700065552	3574.25
1700065554	3574.19
1700065556	3574.14
1700065558	3574.09
1700065560	3574.04
1700065562	3573.98
1700065564	3573.93
1700065566	3573.88
1700065568	3573.83
1700065570	3573.78
1700065572	3573.72
1700065574	3573.67
1700065576	3573.62
1700065578	3573.57
1700065580	3573.51
1700065582	3573.46
1700065584	3573.41
1700065586	3573.36
1700065588	3573.31
1700065590	3573.26
1700065592	3573.21
1700065594	3573.16
1700065596	3573.11
1700065598	3573.06
1700065600	3573.01
1700065602	3572.96
1700065604	3572.91
1700065606	3572.86
1700065608	3572.81
1700065610	3572.76
1700065612	3572.71
1700065614	3572.65
1700065616	3572.61
1700065618	3572.56
1700065620	3572.51
1700065622	3572.45
1700065624	3572.40
1700065626	3572.35
1700065628	3572.30
1700065630	3572.25
1700065632	3572.20
1700065634	3572.15
1700065636	3572.10
1700065638	3572.05
1700065640	3572.00
1700065642	3571.95
1700065644	3571.90
1700065646	3571.85
1700065648	3571.80
1700065650	3571.75
1700065652	3571.69
1700065654	3571.64
1700065656	3571.59
1700065658	3571.54
1700065660	3571.49
